unique_id,timestamp,tag,data,eval_test,model_version,model_version_note,runtime
a6cf8eb4-17f2-46ad-aea2-1b0c665860bf,1618847659.5048547,france,"('2017-11-29', '2019-05-31')",{'rmse': 530},0.1,supervised learning model for time-series,000:00:11
231b1d4d-b599-4b4f-a9c1-9673f28f1aec,1618847673.0615232,germany,"('2017-11-29', '2019-05-31')",{'rmse': 492},0.1,supervised learning model for time-series,000:00:13
57c8023e-2e16-46d8-a5f8-2f2198a4a03c,1618847694.612516,germany,"('2017-11-29', '2019-05-31')",{'rmse': 433},0.1,supervised learning model for time-series,000:00:13
8cc4ff3e-34d6-4cec-a97f-ea8004127871,1618847699.2927754,hong_kong,"('2018-04-19', '2019-05-01')",{'rmse': 916},0.1,supervised learning model for time-series,000:00:04
6f4dabeb-e012-436e-bb80-686d5e18b8b1,1618847709.090175,hong_kong,"('2018-04-19', '2019-05-01')",{'rmse': 907},0.1,supervised learning model for time-series,000:00:04
25fbf247-ef65-4077-80b0-b52740117167,1618847720.896517,netherlands,"('2017-11-30', '2019-05-31')",{'rmse': 133},0.1,supervised learning model for time-series,000:00:11
bc52e336-0fe8-475f-a6e1-b073f8982382,1618847740.2851703,netherlands,"('2017-11-30', '2019-05-31')",{'rmse': 115},0.1,supervised learning model for time-series,000:00:11
7f164bfe-be2d-4d00-b1a4-a94bafc3c07f,1618847746.5353718,norway,"('2017-12-05', '2019-05-11')",{'rmse': 68},0.1,supervised learning model for time-series,000:00:06
b43724de-dd84-4e69-8be6-92d5d65a3495,1618847758.1450977,norway,"('2017-12-05', '2019-05-11')",{'rmse': 138},0.1,supervised learning model for time-series,000:00:06
143c1463-4082-4007-aeed-52d5bb2f0648,1618847767.745426,portugal,"('2017-11-29', '2019-05-31')",{'rmse': 226},0.1,supervised learning model for time-series,000:00:09
c89d60f3-9db8-452a-9ec2-38a22a55cfa3,1618847783.2846231,portugal,"('2017-11-29', '2019-05-31')",{'rmse': 561},0.1,supervised learning model for time-series,000:00:09
840ae5c5-5cf6-4c2b-a188-61f0cfd24e41,1618847787.8696728,singapore,"('2018-04-25', '2019-05-12')",{'rmse': 2327},0.1,supervised learning model for time-series,000:00:04
c7accc78-cf6a-442f-bc11-b5e4014b39a8,1618847795.248023,singapore,"('2018-04-25', '2019-05-12')",{'rmse': 2344},0.1,supervised learning model for time-series,000:00:04
efe37f7e-2d2d-4a7a-902f-70c225f6a303,1618847805.7346258,spain,"('2017-12-01', '2019-05-31')",{'rmse': 161},0.1,supervised learning model for time-series,000:00:10
d3a0afe4-e188-4a46-a54f-d2f1b7920dd1,1618847825.2577162,spain,"('2017-12-01', '2019-05-31')",{'rmse': 262},0.1,supervised learning model for time-series,000:00:10
d0958a9d-eaa4-46a5-b6a3-a28c7634b0b1,1618847838.6138148,united_kingdom,"('2017-11-29', '2019-05-31')",{'rmse': 16687},0.1,supervised learning model for time-series,000:00:13
3631e294-f860-4e2e-a35f-543f5b36f82d,1618847860.7625604,united_kingdom,"('2017-11-29', '2019-05-31')",{'rmse': 18846},0.1,supervised learning model for time-series,000:00:13
